YEAR,SEASON,TEXT
1974,winter,Time magazine article titled 'Another Ice Age?'
1978,winter,First World Climate Conference
1997,winter,Kyoto Protocol Is adopted
1998,winter,UN forms panel on Climate Change
1998,summer,First 'record hottest summer' including widespread drought in the United States
2001,spring,U.S. withdraws from Kyoto Protocol
2005,winter,Kyoto Protocol takes effect
2006,summer,An Invconvenient Truth released
2010,winter,NASA reports that 2000-2009 was the warmest decade on record
2011,winter,Republican Majority eliminates House committee on Global Warming
2015,fall,Paris Climate Agreement signed
2017,summer,U.S. ceases participation in the Paris Climate Agreement
